Índice (orden),Fecha,Valor Nomial,Rango Serie,Firmas (Izquierda a Derecha),Descripción,X
71.1,10-dic-25,5,A - Z *,Tocornal - Burr,Azul sobre fondo amarillo,Serie con una letra
72.2,10-dic-25,5,AA - BH*,Tocornal - Burr,Azul sobre fondo amarillo,Serie con dos letras
72.1,10-dic-25,5,A 1 - a 70 *,Tocornal - Burr,Azul sobre fondo celeste,Serie con una letra y uno o dos digitos
73.1,10-dic-25,10,A 1 - a 30 *,Tocornal - Burr,"Café sobre papel blanco, Reverso verde sobre blanco",
74.1,10-dic-25,10,O - P - R,Tocornal - Burr,"Café sobre verde, Reverso rosado",Serie con una letra
74.2,10-dic-25,10,AA - BG *,Tocornal - Burr,"Café sobre verde, Reverso rosado",Serie con dos letras
75.1,10-dic-25,100,A,Tocornal - Burr,"Negro sobre azul, Reverso café rojizo",
76.1,10-dic-25,500,A,Tocornal - Burr,"Café sobre amarillo. Papel rosado, Reverso gris sobre papel rosado",Papel tonos rosados
76.2,10-dic-25,500,A,Tocornal - Burr,"Café sobre amarillo. Papel rosado, Reverso gris sobre papel rosado",Papel rosado tonos verdosos
77.1,10-dic-25,1000,A,Tocornal - Burr,"Café sobre serpia y violeta. Papel blanco, Reverso violeta sobre papel blanco",
78.1,10-dic-25,50,D,Tocornal - Burr,"Azul sobre papel azul, Anv. y Rev. verde (Modificados)",
79.1,10-dic-25,100,D,Tocornal - Burr,Café sobre papel sepia-ocre. Anv. y Rev. café (Modificado),
82.1,18-abril-27,5,B1 - B99*,Tocornal - Burr,,Digitos grandes
82.2,18-abril-27,5,C1 - C8*,Tocornal - Burr,,Digitos pequeños
82.3,18-abril-27,5,C9 - C16*,Tocornal - Burr,,Digitos grandes
82.4,18-abril-27,5,C17 - C48*,Tocornal - Burr,,Digitos grandes
82.5,18-abril-27,5,C49 - C64*,Tocornal - Burr,,Digitos pequeños
82.6,18-abril-27,5,C65 - C99*,Tocornal - Burr,,Digitos pequeños
82.7,18-abril-27,5,D1 - D30*,Tocornal - Burr,,Digitos pequeños
82.8,18-abril-27,5,D31 - D99*,Tocornal - Burr,,Digitos pequeños
82.9,18-abril-27,5,E1 - E20*,Tocornal - Burr,,Digitos pequeños
83.1,18-abril-27,10,B1 - B23 *,Tocornal - Burr,,Digitos grandes. PDI fuera del marco
83.2,14-mayo-1928,10,B24 - B56*,Tocornal - Burr,,Digitos grandes. PDI en elmarco
s83.3,8-octubre-1928,10,B57 - B79*,Tocornal - Burr,,Digitos pequeños. PDI en el marco
83.4,10-junio-1929,10,C1 - C24,Tocornal - Burr,,Digitos grandes. PDI en el marco
83.5,10-junio-1929,10,C25 - C40,Tocornal - Burr,,Digitos pequeños. PDI en el marco
83.6,2-junio-1930,10,C41 - C56*,Tocornal - Burr,,Digitos pequeños. PDI en el marco
84.1,28-marzo-1927,50,E - F,Tocornal - Burr,,PDI fuera del marco - Imprenta Fiscal
84.2,14-mayo-1928,50,G,Tocornal - Burr,,PDI en el marco - TEV
84.3,8-octubre-1928,50,H,Tocornal - Burr,,PDI en el marco - TEV
84.4,10-junio-1929,50,I,Tocornal - Burr,,PDI en el marco - TEV
84.5,2-junio-1930,50,J - K,Tocornal - Burr,,J - K PDI en el marco - TEV
85.1,28-marzo-1927,100,E,Tocornal - Burr,,Digitos grandes - TEV
85.2,14-mayo-1928,100,F,Tocornal - Burr,,Digitos grandes - TEV
85.3,8-octubre-1926,100,G,Tocornal - Burr,,Digitos grandes - TEV
85.4,10-junio-1929,100,G,Tocornal - Burr,,Digitos grandes - TEV
85.5,2-junio-1930,100,H,Tocornal - Burr,,Digitos grandes - TEV
86.1,29-enero-1929,500,D,Tocornal - Burr,,Talleres de Especies Valoradas en el reverso
87.1,29-enero-1929,1000,D,Tocornal - Burr,,Sin Pie de Imprenta
88.1,12-septiembre-1932,1,A - Z 1,Jeramillo - Meyerholz,,"Tinta negra sobre ""Tan Paper"""
88.2,7-marzo-1933,1,A - Z 2,Subercaseaux - Meyerholz,,"Tinta negra sobre ""Peach Paper"""
89.1,11-febrero-1942,1,A - Z 3,Oyarzún - Meyerholz,,"Tinta azul sobre ""Peach Paper"""
90.1a,3-marzo-1943,1,A 1 - 70,Oyarzún - Meyerholz,,"Emitidos: Serie y un número, desde el 1 al 70"
90.1b,3-marzo-1943,1,B 1 -70,Oyarzún - Meyerholz,,"Emitidos: Serie y un número, desde el 1 al 70"
90.1c,3-marzo-1943,1,C 1 -70,Oyarzún - Meyerholz,,"Emitidos: Serie y un número, desde el 1 al 70"
90.1d,3-marzo-1943,1,D 1 -70,Oyarzún - Meyerholz,,"Emitidos: Serie y un número, desde el 1 al 70"
90.2e,3-marzo-1943,1,E 43,Oyarzún - Meyerholz,,No Emitido. Todos los conocimientos son serie E43
90.3p,sin fecha,1,sin serie,,,Prueba de anverso
